county,counts,RUCC_2023,urban,share_black
1111,23.166666666666668,8.0,0.0,0.185589519650655
1113,81.5,2.0,1.0,0.44712496805520063
1115,84.66666666666666,1.0,1.0,0.09523072158563023
1117,237.16666666666666,1.0,1.0,0.1257269680224658
1119,18.5,8.0,0.0,0.7129466431661593
1121,58.25,4.0,0.0,0.3221624923640806
1123,31.25,6.0,0.0,0.2727933339792656
1125,178.41666666666669,2.0,1.0,0.3224631047801916
1127,52.16666666666667,1.0,1.0,0.05876307635671994
1129,19.5,8.0,0.0,0.23808912289713624
1131,13.583333333333332,9.0,0.0,0.7084970990080479
1133,11.999999999999998,8.0,0.0,0.009175475687103593
2013,1.0,9.0,0.0,0.020827222059254913
2016,1.0,9.0,0.0,0.03466006474957151
2020,259.0,2.0,1.0,0.053557572339298226
2050,3.0,7.0,0.0,0.009236253645889597
2060,2.0,9.0,0.0,0.005889281507656066
2068,2.0,9.0,0.0,0.01188843164151806
2070,2.0,9.0,0.0,0.013472137170851195
2090,54.0,3.0,1.0,0.0455794707099404
2100,3.0,9.0,0.0,0.0
2105,0.0,9.0,0.0,0.019338203695745595
2110,20.0,5.0,0.0,0.009987593052109181
2122,50.0,7.0,0.0,0.006966326582752806
2130,12.0,7.0,0.0,0.007963268527154028
2150,11.0,7.0,0.0,0.010515963080647601
2164,0.0,9.0,0.0,0.02231237322515213
2170,65.0,2.0,1.0,0.013351184847435093
2180,3.0,9.0,0.0,0.00893743793445879
2185,2.0,9.0,0.0,0.008467556373676945
2188,0.0,9.0,0.0,0.011188271604938271
2195,6.0,9.0,0.0,0.010095011876484561
2198,4.0,9.0,0.0,0.0027183146449201497
2220,8.0,7.0,0.0,0.005987320967363231
2230,0.0,9.0,0.0,0.029345372460496615
2240,8.0,9.0,0.0,0.010804497006862316
2261,6.0,9.0,0.0,0.015
2275,2.0,9.0,0.0,0.0013876040703052729
2282,0.0,9.0,0.0,0.03202846975088968
2290,1.0,8.0,0.0,0.0009203018590097553
4001,43.0,8.0,0.0,0.008514735306064116
4003,64.5,3.0,1.0,0.03893134652895469
4005,132.5,3.0,1.0,0.014040098798139946
4007,41.5,4.0,0.0,0.007630001315517468
4009,29.0,7.0,0.0,0.01997640581989776
4011,2.0,9.0,0.0,0.019178369314609096
4012,11.0,6.0,0.0,0.006114574057583853
4013,4174.0,1.0,1.0,0.05624582969445313
4015,152.0,3.0,1.0,0.01054081429802058
4017,64.0,4.0,0.0,0.010121096717913123
4019,856.5,1.0,1.0,0.03443075445649202
4021,153.0,1.0,1.0,0.04611708766716196
4023,37.0,6.0,0.0,0.004550913343025093
4025,242.0,3.0,1.0,0.006484479594848346
4027,130.0,3.0,1.0,0.0206559444970041
5001,7.5,6.0,0.0,0.25664331615816594
5003,20.75,7.0,0.0,0.2505939469063113
5005,26.166666666666668,7.0,0.0,0.002724467161732086
5007,183.83333333333331,2.0,1.0,0.018014592465581437
5009,14.333333333333334,7.0,0.0,0.002456936840699693
5011,6.0,7.0,0.0,0.2634707936208361
5013,12.5,9.0,0.0,0.22219912700062358
5015,28.0,6.0,0.0,0.005008169354265824
5017,4.25,9.0,0.0,0.5363767419509851
5019,8.0,7.0,0.0,0.24382215216282627
5021,10.0,9.0,0.0,0.00586590273514767
5023,38.16666666666667,6.0,0.0,0.002656149388280747
5025,15.0,8.0,0.0,0.14544025157232704
5027,13.416666666666666,7.0,0.0,0.35786813091035863
5029,23.166666666666668,6.0,0.0,0.10426838110890897
5031,75.83333333333331,3.0,1.0,0.1550580204778157
5033,49.0,3.0,1.0,0.015525023560339269
5035,42.833333333333336,1.0,1.0,0.49542802763871074
5037,6.666666666666666,6.0,0.0,0.15718925302627695
5039,7.5,8.0,0.0,0.4328066215199398
5041,14.25,9.0,0.0,0.48152645273200345
5043,14.75,7.0,0.0,0.2889612243732511
5045,114.83333333333331,2.0,1.0,0.11761411142047715
5047,5.5,8.0,0.0,0.008042426714843523
5049,11.833333333333332,9.0,0.0,0.0028164347249834327
5051,65.16666666666667,3.0,1.0,0.08292374666479427
5053,39.833333333333336,2.0,1.0,0.022108083966056274
5055,45.833333333333336,4.0,0.0,0.02430745647651374
5057,23.0,6.0,0.0,0.30336084905660377
5059,56.50000000000001,6.0,0.0,0.11152405124486343
5061,4.833333333333334,8.0,0.0,0.20497906002791996
5063,26.666666666666664,7.0,0.0,0.019181924013123082
5065,11.166666666666666,9.0,0.0,0.008789277081960008
5067,6.333333333333333,6.0,0.0,0.10889915866808864
5069,43.666666666666664,4.0,0.0,0.5579260692972038
5071,13.333333333333334,7.0,0.0,0.016168336363284724
5073,4.166666666666667,8.0,0.0,0.3555625294209948
5075,7.0,6.0,0.0,0.013319420574515099
5077,14.666666666666668,8.0,0.0,0.5494791666666666
5079,37.0,9.0,0.0,0.2985029025358998
5081,7.0,3.0,1.0,0.2029081295439524
5083,14.500000000000002,8.0,0.0,0.014366871684116626
5085,30.666666666666664,2.0,1.0,0.056174143909839616
