county,counts,RUCC_2023,urban,share_black
1001,26.166666666666668,2.0,1.0,0.19694706296468004
1003,180.25,3.0,1.0,0.08759262275955286
1005,11.0,6.0,0.0,0.4744843422146562
1007,15.5,1.0,1.0,0.22322862752097092
1009,33.75,1.0,1.0,0.012906731879627743
1011,21.166666666666664,8.0,0.0,0.6897746967071057
1013,14.833333333333334,6.0,0.0,0.4479432772013972
1015,69.25,3.0,1.0,0.21487652995490658
1017,76.75,6.0,0.0,0.4012459091692025
1019,44.583333333333336,8.0,0.0,0.046726726726726724
1021,35.666666666666664,1.0,1.0,0.08825824286064606
1023,7.0,9.0,0.0,0.41307066916823015
1025,29.916666666666668,9.0,0.0,0.45373939861218193
1027,18.333333333333332,9.0,0.0,0.1327552171460801
1029,15.583333333333332,8.0,0.0,0.0259869732819354
1031,31.5,4.0,0.0,0.16952283996003242
1033,38.166666666666664,3.0,1.0,0.163781718290514
1035,44.41666666666667,9.0,0.0,0.48089658685685177
1037,21.583333333333332,8.0,0.0,0.30683777054204175
1039,14.666666666666666,6.0,0.0,0.12325953587623366
1041,19.833333333333336,8.0,0.0,0.2449624060150376
1043,55.5,4.0,0.0,0.011236212971570889
1045,51.166666666666664,4.0,0.0,0.2070262726776288
1047,21.166666666666664,4.0,0.0,0.7170982074459936
1049,43.916666666666664,6.0,0.0,0.015568661430527993
1051,65.5,2.0,1.0,0.20827117710508802
1053,22.75,6.0,0.0,0.31191192819761926
1055,45.0,3.0,1.0,0.15554567595778404
1057,8.583333333333334,8.0,0.0,0.12746715551481821
1059,17.333333333333332,6.0,0.0,0.04373478179434351
1061,45.333333333333336,3.0,1.0,0.09615095474364757
1063,4.5,2.0,1.0,0.7918736466692141
1065,9.5,2.0,1.0,0.5897833861934003
1067,28.666666666666668,3.0,1.0,0.26594815030585495
1069,62.83333333333333,3.0,1.0,0.27301020168304263
1071,29.333333333333332,6.0,0.0,0.03539620918017812
1073,815.1666666666667,1.0,1.0,0.42873243625009294
1075,18.583333333333336,8.0,0.0,0.1112068346614976
1077,60.0,3.0,1.0,0.09984787126909644
1079,21.5,3.0,1.0,0.10435492157514582
1081,78.33333333333333,3.0,1.0,0.22353576467719177
1083,45.5,2.0,1.0,0.13098590157779819
1085,20.833333333333332,2.0,1.0,0.7481130249661312
1087,40.333333333333336,3.0,1.0,0.8103129810159055
1089,260.3333333333333,2.0,1.0,0.2428189004812259
1091,30.416666666666668,6.0,0.0,0.5125534876527298
1093,16.5,9.0,0.0,0.03973870440936309
1095,53.25,4.0,0.0,0.029142098601549718
1097,660.5,2.0,1.0,0.36064348077757946
1099,25.833333333333332,8.0,0.0,0.4216753666418096
1101,292.3333333333333,2.0,1.0,0.5850082070266117
1103,71.16666666666666,3.0,1.0,0.13070109617643222
1105,19.5,8.0,0.0,0.70133302689037
1107,9.75,2.0,1.0,0.4014033264033264
1109,14.333333333333334,6.0,0.0,0.3651736194839643
1111,15.583333333333334,8.0,0.0,0.185589519650655
1113,65.16666666666667,2.0,1.0,0.44712496805520063
1115,73.0,1.0,1.0,0.09523072158563023
1117,184.0,1.0,1.0,0.1257269680224658
1119,20.5,8.0,0.0,0.7129466431661593
1121,47.25,4.0,0.0,0.3221624923640806
1123,18.666666666666668,6.0,0.0,0.2727933339792656
1125,146.08333333333334,2.0,1.0,0.3224631047801916
1127,39.16666666666667,1.0,1.0,0.05876307635671994
1129,16.0,8.0,0.0,0.23808912289713624
1131,13.75,9.0,0.0,0.7084970990080479
1133,15.666666666666666,8.0,0.0,0.009175475687103593
2013,1.0,9.0,0.0,0.020827222059254913
2016,0.0,9.0,0.0,0.03466006474957151
2020,207.0,2.0,1.0,0.053557572339298226
2050,0.0,7.0,0.0,0.009236253645889597
2060,1.0,9.0,0.0,0.005889281507656066
2068,1.0,9.0,0.0,0.01188843164151806
2070,2.0,9.0,0.0,0.013472137170851195
2090,48.0,3.0,1.0,0.0455794707099404
2100,4.0,9.0,0.0,0.0
2105,0.0,9.0,0.0,0.019338203695745595
2110,16.0,5.0,0.0,0.009987593052109181
2122,42.0,7.0,0.0,0.006966326582752806
2130,8.0,7.0,0.0,0.007963268527154028
2150,9.0,7.0,0.0,0.010515963080647601
2164,0.0,9.0,0.0,0.02231237322515213
2170,65.0,2.0,1.0,0.013351184847435093
2180,1.0,9.0,0.0,0.00893743793445879
2185,2.0,9.0,0.0,0.008467556373676945
2188,0.0,9.0,0.0,0.011188271604938271
2195,3.0,9.0,0.0,0.010095011876484561
